"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"資本金","2693150000",NA,"2018-03-31","CapitalStock","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"資本金","2693150000",NA,"2019-03-31","CapitalStock","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"資本準備金","2629570000",NA,"2018-03-31","LegalCapitalSurplus","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"資本準備金","2629570000",NA,"2019-03-31","LegalCapitalSurplus","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"その他資本剰余金","42501000",NA,"2018-03-31","OtherCapitalSurplus","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"その他資本剰余金","42501000",NA,"2019-03-31","OtherCapitalSurplus","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"資本剰余金","2672071000",NA,"2018-03-31","CapitalSurplus","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"資本剰余金","2672071000",NA,"2019-03-31","CapitalSurplus","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"利益準備金","336150000",NA,"2018-03-31","LegalRetainedEarnings","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"利益準備金","336150000",NA,"2019-03-31","LegalRetainedEarnings","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"別途積立金","1000000000",NA,"2018-03-31","GeneralReserve","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"別途積立金","1000000000",NA,"2019-03-31","GeneralReserve","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"繰越利益剰余金","-689942000",NA,"2018-03-31","RetainedEarningsBroughtForward","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"繰越利益剰余金","-1000506000",NA,"2019-03-31","RetainedEarningsBroughtForward","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"利益剰余金","646208000",NA,"2018-03-31","RetainedEarnings","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"利益剰余金","335644000",NA,"2019-03-31","RetainedEarnings","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"自己株式","-245957000",NA,"2018-03-31","TreasuryStock","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"自己株式","-245957000",NA,"2019-03-31","TreasuryStock","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"株主資本","5765473000",NA,"2018-03-31","ShareholdersEquity","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"株主資本","5454908000",NA,"2019-03-31","ShareholdersEquity","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"その他有価証券評価差額金","10577000",NA,"2018-03-31","ValuationDifferenceOnAvailableForSaleSecurities","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"その他有価証券評価差額金","6805000",NA,"2019-03-31","ValuationDifferenceOnAvailableForSaleSecurities","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"評価・換算差額等","10577000",NA,"2018-03-31","ValuationAndTranslationAdjustments","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"評価・換算差額等","6805000",NA,"2019-03-31","ValuationAndTranslationAdjustments","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"純資産","5776050000",NA,"2018-03-31","NetAssets","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"純資産","5776050000",NA,"2018-03-31","NetAssets","Prior1YearInstant_NonConsolidatedMember","StatementOfChangesInEquity"
"純資産","5461714000",NA,"2019-03-31","NetAssets","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"純資産","5461714000",NA,"2019-03-31","NetAssets","CurrentYearInstant_NonConsolidatedMember","StatementOfChangesInEquity"
"負債純資産","23482614000",NA,"2018-03-31","LiabilitiesAndNetAssets","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"負債純資産","18436805000",NA,"2019-03-31","LiabilitiesAndNetAssets","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
