"elementId","labelString"
"jppfs_cor_DeferredTaxLiabilitiesNCL","繰延税金負債"
"jppfs_cor_DeferredTaxLiabilitiesForLandRevaluation","再評価に係る繰延税金負債"
"jppfs_cor_ProvisionNCLAbstract","引当金"
"jppfs_cor_ProvisionForRetirementBenefits","退職給付引当金"
"jppfs_cor_ProvisionForDirectorsRetirementBenefits","役員退職慰労引当金"
"jppfs_cor_ProvisionForLossOnGuarantees","債務保証損失引当金"
"jppfs_cor_ProvisionNCL","引当金"
"jppfs_cor_OtherNCL","その他"
"jppfs_cor_NoncurrentLiabilities","固定負債"
"jppfs_cor_ReservesUnderTheSpecialLawsAbstract1","特別法上の準備金"
"jppfs_cor_ReservesUnderTheSpecialLaws1","特別法上の準備金"
"jppfs_cor_ReservesUnderTheSpecialLawsAbstract2","特別法上の引当金"
"jppfs_cor_ReservesUnderTheSpecialLaws2","特別法上の引当金"
"jppfs_cor_Liabilities","負債"
"jppfs_cor_DepositForSubscriptionsToShares","新株式申込証拠金"
"jppfs_cor_CapitalSurplusAbstract","資本剰余金"
"jppfs_cor_RetainedEarningsAbstract","利益剰余金"
"jppfs_cor_VoluntaryRetainedEarnings","任意積立金"
"jppfs_cor_ReserveForBondSinkingFund","減債積立金"
"jppfs_cor_ReserveForInterimDividends","中間配当積立金"
"jppfs_cor_ReserveForDividendEqualization","配当平均積立金"
"jppfs_cor_ReserveForBusinessExpansion","事業拡張積立金"
"jppfs_cor_ReserveForPrivateInsurance","自家保険積立金"
"jppfs_cor_DepositForSubscriptionsToTreasuryStock","自己株式申込証拠金"
"jppfs_cor_NetAssetsAbstract","純資産の部"
"jppfs_cor_ShareholdersEquityAbstract","株主資本"
"jppfs_cor_OtherRetainedEarnings","その他利益剰余金"
"jppfs_cor_ValuationAndTranslationAdjustmentsAbstract","評価・換算差額等"
"jppfs_cor_SubscriptionRightsToSharesINV","新投資口予約権"
"jppfs_cor_TreasurySubscriptionRightsToSharesINV","自己新投資口予約権"
"jppfs_cor_LiabilitiesAndNetAssets","負債純資産"
"jppfs_cor_StocksOfParentCompanyIOA","親会社株式"
"jppfs_cor_TreasurySubscriptionRightsToShares","自己新株予約権"
"jppfs_cor_NonControllingInterestsMember","非支配株主持分"
"jppfs_cor_Goodwill","のれん"
"jppfs_cor_NegativeGoodwill","負ののれん"
"jppfs_cor_ProvisionIncurredFromABusinessCombinationCL","企業結合に係る特定勘定"
"jppfs_cor_ProvisionIncurredFromABusinessCombinationNCL","企業結合に係る特定勘定"
"jppfs_cor_NetSalesAbstract","売上高"
"jppfs_cor_GrossSalesRevOA","総売上高"
"jppfs_cor_SalesAllowanceAndReturnsRevOA","売上値引及び戻り高"
"jppfs_cor_NetSales","売上高"
"jppfs_cor_NetSalesOfGoodsRevOA","商品売上高"
"jppfs_cor_NetSalesOfFinishedGoodsRevOA","製品売上高"
"jppfs_cor_SalesOfSemiFinishedGoodsRevOA","半製品売上高"
"jppfs_cor_SalesOfByProductsRevOA","副産物売上高"
"jppfs_cor_SalesOfScrapsRevOA","作業くず売上高"
"jppfs_cor_ProcessingIncomeRevOA","加工料収入"
"jppfs_cor_InstallmentSalesRevOA","割賦販売売上高"
"jppfs_cor_CostOfSalesAbstract","売上原価"
"jppfs_cor_CostOfGoodsSoldAbstract","商品売上原価"
"jppfs_cor_TotalPurchaseOfGoods","総仕入高"
"jppfs_cor_PurchaseAllowanceAndReturns","仕入値引及び戻し高"
"jppfs_cor_CostOfPurchasedGoods","当期商品仕入高"
"jppfs_cor_TotalBeginningAndPurchaseOfGoods","合計"
"jppfs_cor_BeginningGoodsCOS","商品期首たな卸高"
"jppfs_cor_ValuationLossOnGoodsCOS","商品評価損"
"jppfs_cor_CostOfGoodsSold","商品売上原価"
"jppfs_cor_CostOfFinishedGoodsSoldAbstract","製品売上原価"
"jppfs_cor_CostOfProductsManufactured","当期製品製造原価"
"jppfs_cor_TotalBeginningFinishedGoodsAndCostOfProductsManufacturedForThePeriod","合計"
"jppfs_cor_BeginningFinishedGoodsCOS","製品期首たな卸高"
"jppfs_cor_ValuationLossOnFinishedGoodsCOS","製品評価損"
"jppfs_cor_ValuationLossOnRawMaterialsCOS","原材料評価損"
"jppfs_cor_CostOfFinishedGoodsSold","製品売上原価"
"jppfs_cor_CostOfSales","売上原価"
"jppfs_cor_GrossProfit","売上総利益又は売上総損失（△）"
"jppfs_cor_SellingGeneralAndAdministrativeExpensesAbstract","販売費及び一般管理費"
"jppfs_cor_SalesCommissionSGA","販売手数料"
"jppfs_cor_PackingExpensesSGA","荷造費"
"jppfs_cor_HaulageExpensesSGA","運搬費"
"jppfs_cor_AdvertisingExpensesSGA","広告宣伝費"
"jppfs_cor_SampleExpensesSGA","見本費"
"jppfs_cor_WarehousingExpensesSGA","保管費"
"jppfs_cor_DeliveryExaminationExpensesSGA","納入試験費"
"jppfs_cor_DirectorsCompensationsSGA","役員報酬"
"jppfs_cor_SalariesSGA","給料"
"jppfs_cor_WagesSGA","賃金"
"jppfs_cor_AllowanceSGA","手当"
"jppfs_cor_BonusesSGA","賞与"
"jppfs_cor_WelfareExpensesSGA","福利厚生費"
"jppfs_cor_EntertainmentExpensesSGA","交際費"
"jppfs_cor_TravelingExpensesSGA","旅費"
"jppfs_cor_TransportationExpensesSGA","交通費"
"jppfs_cor_CommunicationExpensesSGA","通信費"
"jppfs_cor_HeatingAndLightingExpensesSGA","光熱費"
"jppfs_cor_SuppliesExpensesSGA","消耗品費"
"jppfs_cor_TaxesAndDuesSGA","租税公課"
"jppfs_cor_DepreciationSGA","減価償却費"
"jppfs_cor_RepairExpensesSGA","修繕費"
"jppfs_cor_InsuranceExpensesSGA","保険料"
"jppfs_cor_RentExpensesOnRealEstatesSGA","不動産賃借料"
"jppfs_cor_ProvisionOfAllowanceForDoubtfulAccountsSGA","貸倒引当金繰入額"
"jppfs_cor_BadDebtsExpensesSGA","貸倒損失"
"jppfs_cor_ProvisionForBonusesSGA","賞与引当金繰入額"
"jppfs_cor_ProvisionForDirectorsRetirementBenefitsSGA","役員退職慰労引当金繰入額"
"jppfs_cor_ProvisionForDirectorsBonusesSGA","役員賞与引当金繰入額"
"jppfs_cor_RetirementBenefitExpensesSGA","退職給付費用"
"jppfs_cor_ResearchAndDevelopmentExpensesSGA","研究開発費"
"jppfs_cor_SellingGeneralAndAdministrativeExpenses","販売費及び一般管理費"
"jppfs_cor_OperatingIncome","営業利益又は営業損失（△）"
"jppfs_cor_NonOperatingIncomeAbstract","営業外収益"
"jppfs_cor_InterestIncomeNOI","受取利息"
"jppfs_cor_InterestOnSecuritiesNOI","有価証券利息"
"jppfs_cor_DividendsIncomeNOI","受取配当金"
"jppfs_cor_PurchaseDiscountsNOI","仕入割引"
"jppfs_cor_RentOfRealEstateForInvestmentNOI","投資不動産賃貸料"
"jppfs_cor_GainOnSalesOfSecuritiesNOI","有価証券売却益"
"jppfs_cor_GainOnSalesOfInvestmentSecuritiesNOI","投資有価証券売却益"
"jppfs_cor_EquityInEarningsOfAffiliatesNOI","持分法による投資利益"
"jppfs_cor_GainOnValuationOfSecuritiesNOI","有価証券評価益"
"jppfs_cor_ForeignExchangeGainsNOI","為替差益"
"jppfs_cor_NonOperatingIncome","営業外収益"
"jppfs_cor_NonOperatingExpensesAbstract","営業外費用"
"jppfs_cor_InterestExpensesNOE","支払利息"
"jppfs_cor_InterestOnBondsNOE","社債利息"
"jppfs_cor_SalesDiscountsNOE","売上割引"
"jppfs_cor_LossOnSalesOfSecuritiesNOE","有価証券売却損"
"jppfs_cor_LossOnSalesOfInvestmentSecuritiesNOE","投資有価証券売却損"
"jppfs_cor_EquityInLossesOfAffiliatesNOE","持分法による投資損失"
"jppfs_cor_ProvisionOfAllowanceForDoubtfulAccountsNOE","貸倒引当金繰入額"
"jppfs_cor_BadDebtsExpensesNOE","貸倒損失"
"jppfs_cor_LossOnValuationOfSecuritiesNOE","有価証券評価損"
"jppfs_cor_LossOnValuationOfRawMaterialsNOE","原材料評価損"
"jppfs_cor_InterestOnShortTermBondsNOE","短期社債利息"
"jppfs_cor_InterestOnCommercialPapersNOE","コマーシャル・ペーパー利息"
"jppfs_cor_ForeignExchangeLossesNOE","為替差損"
"jppfs_cor_NonOperatingExpenses","営業外費用"
"jppfs_cor_OrdinaryIncome","経常利益又は経常損失（△）"
"jppfs_cor_ExtraordinaryIncomeAbstract","特別利益"
"jppfs_cor_GainOnSalesOfNoncurrentAssetsEI","固定資産売却益"
"jppfs_cor_ReversalOfReservesUnderTheSpecialLawsEI","特別法上の準備金戻入額"
"jppfs_cor_GainOnSalesOfInvestmentSecuritiesEI","投資有価証券売却益"
"jppfs_cor_GainOnChangeInEquityEI","持分変動利益"
"jppfs_cor_ForeignExchangeGainsEI","為替差益"
"jppfs_cor_ExtraordinaryIncome","特別利益"
"jppfs_cor_ExtraordinaryLossAbstract","特別損失"
"jppfs_cor_LossOnSalesOfNoncurrentAssetsEL","固定資産売却損"
"jppfs_cor_ImpairmentLossEL","減損損失"
"jppfs_cor_LossOnDisasterEL","災害による損失"
"jppfs_cor_ProvisionOfReservesUnderTheSpecialLawsEL","特別法上の準備金繰入額"
"jppfs_cor_LossOnSalesOfInvestmentSecuritiesEL","投資有価証券売却損"
"jppfs_cor_LossOnChangeInEquityEL","持分変動損失"
"jppfs_cor_RetirementBenefitExpensesEL","退職給付費用"
"jppfs_cor_ForeignExchangeLossesEL","為替差損"
"jppfs_cor_ExtraordinaryLoss","特別損失"
"jppfs_cor_IncomeBeforeIncomeTaxes","税引前当期純利益又は税引前当期純損失（△）"
"jppfs_cor_IncomeTaxesCurrent","法人税、住民税及び事業税"
"jppfs_cor_IncomeTaxesCorrection","法人税等の更正、決定等による納付税額又は還付税額"
"jppfs_cor_IncomeTaxesDeferred","法人税等調整額"
"jppfs_cor_ProfitLoss","当期純利益又は当期純損失（△）"
"jppfs_cor_IncomeTaxes","法人税等"
"jppfs_cor_ProfitAttributableToAbstract","（内訳）"
"jppfs_cor_ProfitLossAttributableToNonControllingInterests","非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）"
"jppfs_cor_ProfitLossAttributableToOwnersOfParent","親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）"
"jppfs_cor_AmortizationOfGoodwillSGA","のれん償却額"
"jppfs_cor_AmortizationOfNegativeGoodwillNOI","負ののれん償却額"
"jppfs_cor_ReversalOfProvisionIncurredFromBusinessCombinationEI","企業結合に係る特定勘定取崩益"
"jppfs_cor_GainOnExchangeFromBusinessCombinationEI","企業結合における交換利益"
"jppfs_cor_LossOnExchangeFromBusinessCombinationEL","企業結合における交換損失"
"jppfs_cor_GainOnTransferFromBusinessDivestituresEI","事業分離における移転利益"
"jppfs_cor_LossOnTransferFromBusinessDivestituresEL","事業分離における移転損失"
"jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract","営業活動によるキャッシュ・フロー"
"jppfs_cor_OperatingIncomeOpeCF","営業収入"
"jppfs_cor_PaymentsForRawMaterialsAndGoodsOpeCF","原材料又は商品の仕入れによる支出"
"jppfs_cor_PaymentsForPayrollOpeCF","人件費の支出"
"jppfs_cor_PaymentsForOtherOperatingActivityOpeCF","その他の営業支出"
"jppfs_cor_DepreciationAndAmortizationOpeCF","減価償却費"
"jppfs_cor_ImpairmentLossOpeCF","減損損失"
"jppfs_cor_IncreaseDecreaseInAllowanceForDoubtfulAccountsOpeCF","貸倒引当金の増減額（△は減少）"
"jppfs_cor_InterestAndDividendsIncomeOpeCF","受取利息及び受取配当金"
"jppfs_cor_InterestExpensesOpeCF","支払利息"
"jppfs_cor_ForeignExchangeLossesGainsOpeCF","為替差損益（△は益）"
"jppfs_cor_EquityInEarningsLossesOfAffiliatesOpeCF","持分法による投資損益（△は益）"
"jppfs_cor_LossGainOnSalesOfPropertyPlantAndEquipmentOpeCF","有形固定資産売却損益（△は益）"
"jppfs_cor_LossOnCompensationForDamageOpeCF","損害賠償損失"
"jppfs_cor_DecreaseIncreaseInNotesAndAccountsReceivableTradeOpeCF","売上債権の増減額（△は増加）"
"jppfs_cor_DecreaseIncreaseInInventoriesOpeCF","たな卸資産の増減額（△は増加）"
"jppfs_cor_IncreaseDecreaseInNotesAndAccountsPayableTradeOpeCF","仕入債務の増減額（△は減少）"
"jppfs_cor_LossGainOnSalesOfInvestmentSecuritiesOpeCF","投資有価証券売却損益（△は益）"
"jppfs_cor_DecreaseIncreaseInConsumptionTaxesReceivablePayableOpeCF","未払又は未収消費税等の増減額"
"jppfs_cor_IncreaseDecreaseInNetDefinedBenefitLiabilityOpeCF","退職給付に係る負債の増減額（△は減少）"
"jppfs_cor_IncreaseDecreaseInNetDefinedBenefitAssetOpeCF","退職給付に係る資産の増減額（△は増加）"
"jppfs_cor_IncreaseDecreaseInProvisionForRetirementBenefitsOpeCF","退職給付引当金の増減額（△は減少）"
"jppfs_cor_LossOnRetirementOfPropertyPlantAndEquipmentOpeCF","有形固定資産除却損"
"jppfs_cor_IncreaseDecreaseInNotesDiscountedOpeCF","割引手形の増減額（△は減少）"
"jppfs_cor_SubtotalOpeCF","小計"
"jppfs_cor_InterestAndDividendsIncomeReceivedOpeCFInvCF","利息及び配当金の受取額"
