"docID","edinetCode","filerName","secCode","periodEnd"
"S100GD9Z","E01752","大崎電気工業","66440","2019-03-31"
"S100GDCC","E04849","クレオ","96980","2019-03-31"
"S100GD8C","E05003","ワタベウェディング","46960","2019-03-31"
"S100GDC9","E05020","ＫｅｙＨｏｌｄｅｒ","47120","2019-03-31"
"S100G4YO","E00182","神田通信機","19920","2019-03-31"
"S100G5G8","E00105","ナカノフドー建設","18270","2019-03-31"
"S100G9SS","E05052","ビーイング","47340","2019-03-31"
"S100GD82","E34514","自律制御システム研究所","62320","2019-03-31"
"S100GDC7","E03333","ＮＥＷ ＡＲＴ ＨＯＬＤＩＮＧＳ","76380","2019-03-31"
"S100G9JV","E03281","エステールホールディングス","78720","2019-03-31"
"S100GCMA","E33864","コンヴァノ","65740","2019-03-31"
"S100GA13","E31560","メニコン","77800","2019-03-31"
"S100GBUR","E04823","進学会ホールディングス","97600","2019-03-31"
"S100GD3F","E00771","大阪ソーダ","40460","2019-03-31"
"S100GDAT","E04161","北海道中央バス","90850","2019-03-31"
"S100GDE3","E03252","ダイヤ通商","74620","2019-03-31"
"S100GARK","E01916","リード","69820","2019-03-31"
"S100GAFC","E01130","太平洋セメント","52330","2019-03-31"
"S100GAWS","E22461","ソケッツ","36340","2019-03-31"
"S100GC98","E01142","日本コンクリート工業","52690","2019-03-31"
"S100GAU0","E34587","ｇｏｏｄｄａｙｓホールディングス","44370","2019-03-31"
"S100GDES","E32144","ＬＩＴＡＬＩＣＯ","61870","2019-03-31"
"S100GD20","E33574","マツオカコーポレーション","36110","2019-03-31"
"S100G71L","E04097","相鉄ホールディングス","90030","2019-03-31"
"S100GBUS","E04916","ウィルソン・ラーニング ワールドワイド","96100","2019-03-31"
"S100GDBN","E03943","レオパレス２１","88480","2019-03-31"
"S100G8HF","E00744","サイネックス","23760","2019-03-31"
"S100GCN4","E04934","ナック","97880","2019-03-31"
"S100GDFN","E04948","光通信","94350","2019-03-31"
"S100GDFD","E02223","カーメイト","72970","2019-03-31"
"S100GDGC","E04591","武蔵野興業","96350","2019-03-31"
"S100GCYR","E01008","積水樹脂","42120","2019-03-31"
"S100GDD5","E02489","日本一ソフトウェア","38510","2019-03-31"
"S100GDCU","E02602","三谷商事","80660","2019-03-31"
"S100GCRJ","E01433","元旦ビューティ工業","59350","2019-03-31"
"S100GD1M","E32169","ユー・エム・シー・エレクトロニクス","66150","2019-03-31"
"S100G5RJ","E30066","アズマハウス","32930","2019-03-31"
"S100GBSS","E32990","ファイズ","93250","2019-03-31"
"S100GCJ6","E31542","中村超硬","61660","2019-03-31"
"S100GAA4","E30918","オプティム","36940","2019-03-31"
"S100GD9K","E02650","川辺","81230","2019-03-31"
"S100G9X7","E01661","東洋エンジニアリング","63300","2019-03-31"
"S100GDHB","E02057","ＲＶＨ","67860","2019-03-31"
"S100GCPK","E02046","アルメディオ","78590","2019-03-31"
